Corella E
Piornal E
Olula del Río E
Ávila B
Castelltersol E
Zalamea de la Serena E
Valderrobres E
Lloreda E
Huarte-Araquil E
Oles E
Quintanar de la Orden D
Sabucedo E
Ontinyent C
Oloron-Sainte-Marie E
Castro Urdiales C
Villanueva de la Fuente E
Sitges C
Cuenca B
Unquera E
Valdesoto E 
Viana del Bollo E
Segura de León E
Herv\xc3\xa1s E
Pedrezuela E
Albalate del Arzobispo E
Buñol E
La Albuera D
Daimiel D
Trasona E
Ollería E
Reus A
Ciudad RodrigoD
La Orotava C
Pola de Laviana E
Villarta de San Juan E
Puebla del Carami\xc3\xb1al E
Osuna D
Montoro E
Santiago de la Ribera E
Teruel C
Guadalcanal E
Loja C
Meira E
Riveira C
Sada D
Villaca\xc3\xb1as E
Coria del Río C
Sotomayor E
Salvatierra de Mi\xc3\xb1o E
Foz E
El Rosal E
Gallur E
Santa Cruz de Mudela E
Arnoia E
Campo de Calatrava E
Laracha D
Qu\xc3\xa9ntar E
Arnedo D
Forcarey E
Lubrín E
Alburquerque E
Reinosa E
Sari\xc3\xb1ena E
San Crist\xc3\xb3bal de Cea E
Baena  D
Amieva E
Azuqueca de Henares C
Pe\xc3\xb1\xc3\xadscola E
Espera E
Tarifa D
Pe\xc3\xb1as de San Pedro E
Medina del Campo C
Tuy D
Cabezo de Torres E
León A
La Bañeza D
Elche de la Sierra E
Cuntis E
Lalín C
Sigüenza E
Villanueva de la Serena C
Fuente de Cantos E
Mara E
Longares E
Laredo D
Allariz D
San Vicente de Alc\xc3\xa1ntara E
Carasa E
San Luis E
Villarrubia de los Ojos D
Borjas del Campo E
Santo Domingo de la Calzada E
Montblanc E
Ponteceso E
Hío E
Marín C
Santa Eulalia E
Monesterio E
Melide E
Padrón E
Chinch\xc3\xb3n E
Villagarcía de Arosa C
Linares B
Cetina E
Bargas D
Los Corrales de Buelna D
Utrera B
Folgoso do Courel E
Cambados D
Cariñena E
Lérida A
Santander A
Castilla-La Mancha E
Calanda E
As Neves E
Ronda  C
Lorca B
Casar de Periedo E
Alfaro E
Torrelavega  B
Orense A
Santomera D
Valdepeñas C
Hellín C
Narzana E
Ucieda E
Aguilar de la Frontera D
Pinseque E
Trujillo E
Espinama E
Calzada de Calatrava E
Muxía E
Milagro E
Vilaboa E
Plasencia C
Rairiz de Veiga E
Crevillente C
V\xc3\xa9lez-Rubio E
Puente Genil  C
Colmenar Viejo C
Mayorga E
Cáceres  B
Córdoba  A
Guadalajara  B
Lanz E
Aceh\xc3\xbache E
Lugo B
La Vera E
Cartagena A
Valladolid A
Utebo D
Neda E
Cangas de On\xc3\xads E
Iniesta E
Alicante A
Puebla de Guzm\xc3\xa1n E
Cangas del Narcea D
Romanos (Zaragoza) E
Mérida B
El Barco de Valdeorras D
Huelva A
San Mart\xc3\xadn de Lui\xc3\xb1a E
Haro D
Miguelturra D
Pontevedra B
Ituren E
Villarrobledo Villarrobledo C
Campo de Caso E
Nava E
La Peza E
Seña E
Burgui E
Vedra D
Almad\xc3\xa9n E
Torrejón de Ardoz A
Barbastro D
Andrín E
Guadix  D
Briones E
Potes E
Torrenueva E
Villafranca del Panadés C
Tarazona de la Mancha E
Cue E
Villarino de Conso E
Majaelrayo E
Vio\xc3\xb1o de Pi\xc3\xa9lagos E
Álora D
Tendilla E
Villa de Mazo E
Castro del R\xc3\xado E
LazaE
Pola de Siero E
Villanueva de los Infantes E
Bañeres D
Hiendelaencina E
Esparraguera C
San Javier C
Touro E
Alcira C
Andorra E
Almería A
Isla Cristina C
Móstoles A
Alhaurín de la Torre C
Vargas (Cantabria) E
Albelda E
Ayerbe E
Málaga A
Revilla (Camargo) E
La Roda D
Alcal\xc3\xa1 del Valle E
Sagunto B
Chipiona D
Luanco E
La Alberca E
Sena E
Pe\xc3\xb1alsordo E
Sotrondio E
Carri\xc3\xb3n de los C\xc3\xa9spedes E
Lodosa E
Almendralejo C
Granada A
Lorenzana E
Cornellana E
Oimbra E
Bueu D
Darbo E
Pedrafita do Cebreiro E
Campanario E
Griñón A
Tineo E
Selaya E
Riogordo E
Navalmoral de la Mata D
Ocaña D
Toledo B
La Línea de la Concepción B
Calamocha E
Pe\xc3\xb1afiel E
San Juan de la Arena E
Verín D
Los Alcázares D
Alhama de Murcia C
Lácar E
Luarca E
El Escorial D
San Juan de Bele\xc3\xb1o E
San Clemente E
Cieza C
Écija C
Tazones E
Almod\xc3\xb3var del Campo E
Isaba E
