Consuegra D
Piornal E
Ávila B
Caravaca de la Cruz C
Agüimes C
Barcelona A
Ciudad Real B
Ontinyent C
Tobarra E
Sitges C
Cuenca  B
Estrada E
Pamplona-Iru\xc3\xb1a E
Buñol E
Elche A
Astorga D
Zamora B
Teruel C
Carballiño E
AlbalatedelArzobispo E
Torrevieja B
Sevilla A
Valdés D
Viveiro D
Graus E
Montilla  C
Arapiles E
UrreadeGa\xc3\xa9n E
Baza C
Almansa C
Agaete E
Mieres Mieres C
Ribadavia E
Villagarcía de Arosa C
Baena D
Orotava E
SamperdeCalanda E
Albacete A
León A
J\xc3\xa1vea-X\xc3\xa0bia E
Lalín C
Miranda de Ebro C
Laredo D
Alzira C
FiestadelaReconquistaOrihuela E
Los Pirineos E
Jaén A
Béjar D
Alcorisa E
Montblanc E
Berga Berga D
Monesterio E
Unión E
Gijón A
Sanlúcar de Barrameda B
Aranjuez B
Bocairent E
Cambados D
Calanda E
Los Realejos C
Lorca B
Jerte E
SantillanadelMar E
Quel E
Hellín  C
Grado  D
Alcañiz  D
Ferrol  B
Muxía E
Castro Urdiales C
Cocentaina D
Madrid A
Mayorga E
 Talavera de la Reina B
Cáceres B
Córdoba  A
LosEncierrosdeCu\xc3\xa9llarCu\xc3\xa9llar E
Frontera E
San Cristóbal de La Laguna A
Lugo B
Cartagena A
Castell\xc3\xb3delaPlana E
Cangas del Narcea D
Valladolid A
ElchedelaSierra E
Zaragoza A
San Lorenzo de El Escorial D
Valld'Uixó C
Pen\xc3\xadscola-Pe\xc3\xb1\xc3\xadscola E
Mérida B
Ponteareas C
Huelva A
Cervera E
Haro D
Santiago de Compostela B
Pontevedra  B
Híjar E
Villarrobledo C
Ansó E
SanVicentedelaSonsierra E
Nava E
Los Corrales de Buelna D
Palencia B
Gernika-Lumo E
Barbastro D
Briones E
Coruña La Coruña A
VilaJoiosa-LaVillajoyosa E
Potes E
Santa Cruz de Tenerife A
Salamanca  A
Xàtiva C
Eivissa E
Ponferrada B
Cabra C
Hita E
Andújar C
VilafrancadelPened\xc3\xa8s E
Ciudad Rodrigo D
MedinadeRioseco E
Zafra D
Almería A
DescensoInternacionaldelSellaParres E
Mallorca B
Alicante-Alacant B
Grove E
Málaga A
Jumilla C
Alberca E
Solana E
VilladeMazo E
Sagunto-Sagunt E
Lleida Lérida A
Nájera E
Alcoy-Alcoi E
temps de flors (tiempo de flores) E
Granada  A
Lena  D
Crevillent C
Riogordo E
Ocaña D
Mula D
Cabrales E
Toledo B
Murcia A
Baiona D
Pe\xc3\xb1afiel E
Verín D
PuebladeH\xc3\xadjar E
Llanes D
Valencia A
Guarda E
Ortigueira E
Colmenar Viejo C
LasM\xc3\xb3ndidasSanPedroManrique E
Bañeza E
Cieza C
Orense A
Águilas C
Bilbao A
Tarazona D
Santa Cruz de La Palma D
Ginzo de Limia D
Osma E
Tarragona A
Molledo E
Cádiz A
Morella E
Piloña D
Atienza E
Medina del Campo C
Esparraguera C
Ejea de los Caballeros D
Aller D
Jerez de la Frontera A
Orreaga-Roncesvalles E
Catoira E
Huesca B
Burgos A
Logroño A
Donostia-SanSebasti\xc3\xa1n A
Oviedo A
Almonte C
Fraga D
Villena C
BanyeresdeMariola E
Lucena C
Buitrago del Lozoya E
Javier E
Arbo E
Segorbe B
Burgui-Burgi E
Navia E
Calahorra C
Orihuela B
Badajoz A
Tortosa C
Santo Domingo de la Calzada E
Alcalá de Henares A
Sang\xc3\xbcesa-Zangoza E
Yecla C
Bembibre E
Algemesí C
