Garachico E
Murcia A
Sierra de la Demanda E
Jerez de la Frontera A
Santa Cruz de Tenerife A
Rivas-Vaciamadrid B
Mérida B
Bilbao A
Santa María de Guía D
Guadalajara B
Jaén A
Cádiz A
San Javier C
Vivero D
Málaga A
Santa María de Guía D
Hita E
Benicasim D
Astorga D
Vinaroz C
Cuéllar E
San Cristóbal de La Laguna A
Olvera E
Ciudad Rodrigo D
Tolbaños de Arriba E
Teror D
Güímar D
Arona B
Isla Cristina C
Málaga A
Burgos A
Logroño A
Ferrol B
Ferrol B
Lanuza E
Monegros C
Colmenar Viejo C
Madrid A
Huesca B
Cáceres B
Nuevo Baztán E
Benicasim D
Granada A
Monegros C
Calasparra D
Marbella A
León A
Albacete A
Santa Cruz de Tenerife A
Lugo B
Getafe A
Orihuela B
Miranda de Ebro C
Avilés  B
Burriana C
Badajoz A
Antequera C
Zaragoza A
San Sebastián A
Murcia A
Arriondas E
San Mateo E
Jaén A
Cartagena A
Santa Cruz de Tenerife A
Castellón de la Plana A
Valencia A
Ortigueira E
Las Palmas de Gran Canaria A
Beas de Segura E
